#time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
2.035,-0.05,0.66,0.61,-1.80,1.84,0.69,0.65,0.28,0.97,0.00
2.036,-0.01,0.66,0.74,-1.80,1.84,0.69,0.65,0.28,0.97,0.00
2.054,-0.01,0.66,0.74,-1.80,1.84,0.69,-0.82,0.13,0.06,0.00
2.055,-0.01,0.66,0.74,-0.57,-0.15,-0.73,-0.82,0.13,0.06,0.00
2.099,-0.01,0.66,0.74,0.67,-0.53,-0.16,-0.82,0.13,0.06,0.00
2.101,-0.01,0.66,0.74,0.67,-0.53,-0.16,-0.56,-0.05,-0.37,0.00
2.101,0.01,0.61,0.78,0.67,-0.53,-0.16,-0.56,-0.05,-0.37,0.00
2.102,0.03,0.60,0.73,0.67,-0.53,-0.16,-0.56,-0.05,-0.37,0.00
2.103,0.05,0.63,0.72,0.67,-0.53,-0.16,-0.56,-0.05,-0.37,0.00
2.135,0.05,0.63,0.72,0.76,-0.46,-0.20,-0.56,-0.05,-0.37,0.00
2.136,0.05,0.63,0.72,0.76,-0.46,-0.20,-0.16,0.15,-0.23,0.00
2.154,-0.01,0.66,0.77,0.76,-0.46,-0.20,-0.16,0.15,-0.23,0.00
2.155,-0.05,0.69,0.72,0.76,-0.46,-0.20,-0.16,0.15,-0.23,0.00
2.155,-0.03,0.71,0.68,0.76,-0.46,-0.20,-0.16,0.15,-0.23,0.00
2.173,-0.03,0.71,0.68,0.76,-0.46,-0.20,-0.01,0.15,-0.08,0.00
2.174,-0.03,0.71,0.68,1.20,-0.58,0.07,-0.01,0.15,-0.08,0.00
2.213,-0.03,0.71,0.68,0.68,0.15,-0.34,-0.01,0.15,-0.08,0.00
2.215,-0.03,0.71,0.68,0.68,0.15,-0.34,-0.22,-0.04,-0.16,0.00
2.215,-0.02,0.69,0.71,0.68,0.15,-0.34,-0.22,-0.04,-0.16,0.00
2.216,-0.09,0.64,0.77,0.68,0.15,-0.34,-0.22,-0.04,-0.16,0.00
2.217,-0.14,0.64,0.79,0.68,0.15,-0.34,-0.22,-0.04,-0.16,0.00
2.253,-0.14,0.64,0.79,0.67,0.13,-0.32,-0.22,-0.04,-0.16,0.00
2.255,-0.14,0.64,0.79,0.67,0.13,-0.32,0.05,-0.03,-0.03,0.00
2.273,-0.13,0.65,0.75,0.67,0.13,-0.32,0.05,-0.03,-0.03,0.00
2.274,-0.09,0.68,0.71,0.67,0.13,-0.32,0.05,-0.03,-0.03,0.00
2.275,-0.09,0.68,0.70,0.67,0.13,-0.32,0.05,-0.03,-0.03,0.00
2.292,-0.09,0.68,0.70,-0.18,-0.41,0.42,0.05,-0.03,-0.03,0.00
2.294,-0.09,0.68,0.70,-0.18,-0.41,0.42,0.23,0.05,0.09,0.00
2.331,-0.09,0.68,0.70,0.02,-0.21,-0.22,0.23,0.05,0.09,0.00
2.332,-0.09,0.68,0.70,0.02,-0.21,-0.22,0.21,0.14,0.16,0.00
2.333,-0.12,0.66,0.70,0.02,-0.21,-0.22,0.21,0.14,0.16,0.00
2.333,-0.15,0.66,0.69,0.02,-0.21,-0.22,0.21,0.14,0.16,0.00
2.333,-0.17,0.67,0.69,0.02,-0.21,-0.22,0.21,0.14,0.16,0.00
2.372,-0.17,0.67,0.69,0.02,-0.21,-0.22,0.27,0.16,0.27,0.00
2.373,-0.17,0.67,0.69,-0.01,-0.29,-0.14,0.27,0.16,0.27,0.00
2.391,-0.16,0.67,0.69,-0.01,-0.29,-0.14,0.27,0.16,0.27,0.00
2.392,-0.14,0.69,0.69,-0.01,-0.29,-0.14,0.27,0.16,0.27,0.00
2.393,-0.14,0.70,0.68,-0.01,-0.29,-0.14,0.27,0.16,0.27,0.00
2.416,-0.14,0.70,0.68,-0.01,-0.29,-0.14,0.26,0.21,0.35,0.00
2.417,-0.14,0.70,0.68,-0.61,-0.42,-0.17,0.26,0.21,0.35,0.00
2.45,-0.14,0.70,0.68,-0.61,-0.42,-0.17,0.17,0.22,0.41,0.00
